Hearing_group,Species,Species_group,Study,Area,Source,Sound_source,Sound_source_position,Sound_source_depth,Frequency_reported,Duration,RL,RL_unit,RL_measured_or_estimated,Source_range,Number_individuals,Sex,Age_yr,PriorBehavior,Behavioural_response,Highest_severity_scale ,Behavior2,Displacement_avoidance ,Acoustic_change_type
Low-frequency,Bowhead whale,Mysticetes,Schick and Urban 2000,"Alaska, US",Continuous,Drilling,Stationary,,,,,,,< 50 km,,,,,"Whales were distributed farther from the drilling rig (Mantel test: spatiall pattern of bowhead whale distribution was highly correlated with distance from the drilling rig, indicating that the presence of the drilling rig resulted in a significant temporary loss in available habitat). Within audible ranges of the drilling rig (<50 km), whales were farther away than expected randomly.",6,High,Avoidance,Not measured/reported
Low-frequency,Gray whale,Mysticetes,Malme et al. 1983,"California, US",Continuous,Drilling,Stationary,,,"1 -2 hours per playback, 5 days of field work",118,Not explicit,Both,250 m,Hundreds of whales,Male and female,"Adult, juvenile, and occasional mother-calf pairs",Traveling,"Each playback stimulus caused statistically significant response compared with undisturbed whales, and each stimulus elicited a different pattern of response. Whales exposed to the drilling platform, helicopter and production platform stimuli also showed an avoidance response, less pronounced than the orca response, but still indicating deflections from the immediate vicinity of the sound source. The deflection from drilling platform noise occurred primarily before the whales passed the sound source, while deflections for the helicopter and production platform occurred just as the whales passed the source. The other response of whales to playback was to slow down relative to undisturbed conditions. Whales exposed to orca, drilling platform, and drillship sounds slowed down significantly before passing the sound source. Semisubmersible and helicopter sounds caused the whales to slow down both before and after passing the sound source. Those whales exposed to production platform sounds slowed down only after passing the source. The response o f slowing down during playback of industrial sounds appears to be neither an avoidance nor an annoyance response, Instead, the whales may be moving more cautiously when in the presence of such sound sources.",6,High,Avoidance,Not measured/reported
Low-frequency,Gray whale,Mysticetes,Malme et al. 1983,"California, US",Seismic-Explosion,Seismic,Moving ,,,"1 -2 hours per playback, 5 days of field work",160,Not explicit,Both,2 km,Hundreds of whales,Male and female,"Adult, juvenile, and occasional mother-calf pairs",Traveling,"During the April/May mother/calf phase of  the northward migration, the major potential disturbance used in experiments was airgun activity either from a 40 gun towed array or from a single airgun. The most dramatic responses of the whales to air gun activity occurred at received levels of > (greater than) 160 dB re 1 uPa when the airgun source was within - 2 b of  the animals. In general , whales would slow down, turn away from the source, and increase their respiration rates when exposed to ai r gun impulse sounds. In several cases , groups were seen swimming into the surf zone and als opositioning themselves in the sound shadow of a rock; island , or outcropping. There were significant differences , independent of range or level of exposure, in milling indices , speed indices, and blow rates for groups prior to exposure and those same groups during exposure to the air gun noise. There were also significant differences in milling indices , speed indices ,and blow rates for groups during exposure and after exposure to airgun noise.",6,High,Avoidance,Not measured/reported
Low-frequency,Gray whale,Mysticetes,Malme et al. 1984 ,"California, US",Continuous,Drilling,Stationary,15 m,,2 - 2.5 hours,125,Not explicit,Both,2 - 3 km,Hundreds of whales,,,Traveling,"Migrating whales were found to respond to the presence of a noise source by small course changes at some distance from the
source. This ""detection"" reaction often occurred at ranges where the estimated level of the noise source was equal to the local ambient noise level. In the test area this corresponded to ranges of 2 to 3 km. The result of these small course changes, as the whales approached the sound source, was an increase in the distance between the whales and the source at the closest point of apsroach. This ""avoidancen behavior resulted in a lower sound level exposure than would have occurred had the whale maintained the original course.  In a study of migratory gray whales exposed to seismic and other industrial signals , Malme et aL (1983, 1984), showed avoidance responses to all of the sound stimuli used in this study. In that study whales were on well-directed migratory tracks and hence the track analysis scores were very sensitive to slight dfelections in the whales' swimming patterns. The incidence of breaching and milling periods during the five industrial noise playbacks were not significantly different. There was also no significant difference when these two behavioral categories were compared to the control periods. The milling period sample was, however, very small. There were significantly more surface active behavior periods during the Semisubmersible Rig playback. This result could not be explained in terms of sound exposure level. When the pooled playbacks without the ~emisubmersible Rig data was compared to the control periods #2 and #3, there was a significant lower number of surface active periods. However, when the pooled playbacks with Semisubmersible Rig data (but without Helicopter data) were compared to the two control conditions, no significant difference was found. The incidence of direction change periods during the five playbacks was significantly different with a high number of direction changes during the Drilling Platform playback. a concerted effort was made to note whale group behaviors such as surface activity, milling, and breaching during control and experimental conditions so that any potential relationship to industrial sound exposure level could be determined. No significant differences in the occurrences of any of these behaviors were observed when comparing control and experimental conditions.",6,High,Avoidance,Not measured/reported
Low-frequency,Gray whale,Mysticetes,Malme et al. 1984 ,"California, US",Seismic-Explosion,Seismic,Moving ,15 m,dominant energy of the signals can be seen to be at 100 Hz and below.,2 - 2.5 hours (Pulsed every 10 seconds),180,Not explicit,Both,"2 - 3 km (air gun system was operated at nominal distances of approximately 15 km, 5.5 km, and 2.8 km from the estimated center of the migration corridor and in other cases from a platfrom near shore)",Hundreds of whales,,,Traveling,"Migrating whales were found to respond to the presence of a noise source by small course changes at some distance from the
source. This ""detection"" reaction often occurred at ranges where the estimated level of the noise source was equal to the local ambient noise level. In the test area this corresponded to ranges of 2 to 3 km. The result of these small course changes, as the whales approached the sound source, was an increase in the distance between the whales and the source at the closest point of apsroach. This ""avoidancen behavior resulted in a lower sound level exposure than would have occurred had the whale maintained the original course.  In a study of migratory gray whales exposed to seismic and other industrial signals , Malme et aL (1983, 1984), showed avoidance responses to all of the sound stimuli used in this study. In that study whales were on well-directed migratory tracks and hence the track analysis scores were very sensitive to slight dfelections in the whales' swimming patterns. The incidence of breaching periods during the two moored air
gun experiments was not significantly different. Also, there was
no significant difference in breaching periods when these experimental
days were pooled and compared to each of the control
periods. There was no difference in the number of surface active
periods during the two experimental days. However, in comparing
the pooled data to control period #5, there was a significantly
lower number of surface active behaviors during experimental
conditions. a concerted
effort was made to note whale group behaviors such as surface
activity, milling, and breaching during control and experimental
conditions so that any potential relationship to industrial sound
exposure level could be determined. No significant differences
in the occurrences of any of these behaviors were observed when
comparing control and experimental conditions .",6,High,Avoidance,Not measured/reported
Otter,Sea otter,Otter,Malme et al. 1984 Appendix D,"California, US",Continuous,Drilling,Stationary,,,,,,,,,,,,"Also, a specific task requiring sea otter (Enhydra lutris nereis) behavioral observations during the acoustic stimulus experiments was performed. The report of that work is contained in Appendix D. It was demonstrated that the behavior density and distribution of sea otters were not influenced by the underwater playback of industrial sounds or by the air gun experiments",0,Low,Not-avoidance,Not measured/reported
Otter,Sea otter,Otter,Malme et al. 1984 Appendix D,"California, US",Seismic-Explosion,Seismic,Stationary,,,,,,,,,,,,"Also, a specific task requiring sea otter (Enhydra lutris nereis) behavioral observations during the acoustic stimulus experiments was performed. The report of that work is contained in Appendix D. It was demonstrated that the behavior density and distribution of sea otters were not influenced by the underwater playback of industrial sounds or by the air gun experiments",0,Low,Not-avoidance,Not measured/reported
Low-frequency,Gray whale,Mysticetes,Malme et al. 1986,Southeast Caper St. Lawrence Island,Continuous,Drilling,Stationary,,,,120,Not explicit,Estimated,,4,,,Foraging,"The two playbacks for which whale movement data are available, DS 2 and DS 3, suggest that the whales did not alter their movement patterns with RSL at 103 to 110 dB and the BIG VALLEY as close as 1.12 km. In one case (DS 3), a whale continued to feed in the same general area during both control and experimental periods. However, during the pre-control period for DS 2, whales appeared to respond to the presence of the BIG VALLEY, thus complicating interpretation of results. During DS 1 and DS 4, whales in the vicinity of the BIG VALLEY did move out of the general area; however, we were unable to obtain track data on individual whales and therefore RSL for specific focal animals are not available.",6,High,Avoidance,Not measured/reported
Low-frequency,Gray whale,Mysticetes,Malme et al. 1986,Southeast Caper St. Lawrence Island,Seismic-Explosion,Seismic,Stationary,,,,176,Not explicit,Estimated,up to 4 km,9,,,Foraging,"Alterations in whale movement patterns and/or feeding behavior were noted during each of the six air gun experiments. Table 3.8 summarizes the behavior of eight of the nine focal whales under observation during the experiments. As the precontrol behavior of Whale K on 24 August during AG 5 was possibly affected by the presence of the BIG VALLEY, this whale has not been included. Responses were noted at RSL ranging from 149 dB to 176 dB at distances up to approximately 4 km. However, in one case, RSL reached a peak of 165 dB with the NANCY H 0.66 km distant with very little, if any, response observed. We did observe the cessation of feeding with apparent movement away from the experimental vessel during some part of air gun sound exposure on five occasions. However, in three of these cases the whales resumed feeding either during the experiment (one case) or during the post-control period (two cases). In the remaining two cases, one whale stopped feeding with apparent movement away from the experimental vessel (Whale A, AG 3) and continued to move out of. the area during the post-control period; the other whale (Whale L) stopped feeding during AG 5; however, we do not have information on its pre-control movement pattern.Malme provided narratibve for each one of the behavioural reactions after exposure. As an example: Feeding, turn, speed increase, dive, fluke out, resumen feeding; whale kept feeding in the same general area. Whale B was observed to be feeding during the control period between AG 3 and AG 4 (see Fig. 3.28). Figure 3.29 shows the movement pattern of this whale relative to the NANCY H during AG 4. At the onset of AG 4, RSL at Whale B was 159 dB with the NANCY H 1.75 km to the north. Whale B continued to feed and between 1942-1954 was moving slowly to the north, toward the NANCY H, which was motoring southward. During this period, RSL was increasing and at 1957 it had reached 176 dB with the NANCY H 0.18 km directly offshore of Whale B. At this point, observers noted that the whale had turned and was moving rapidly to the south, diving with flukes out. This was the first time during the entire period of observation that Whale B displayed a full fluke out upon diving, and this action was unusual since the whale was in shallow water (depth K 9 m) in which fluke outs do not normally occur. The whale continued to move south, and at 2002 another full fluke out was noted. At this point, RSL had reached a peak of 177 dB with the NANCY H 0.17 km distant. Mud was observed with this dive, and Whale B was presumed to be feeding. The whale continued moving slowly to the south until approximately 2011, at which time it began to mill. By 2015, mud was again associated with Whale B, and the whale continued to feed throughout the remainder of AG 4, staying in the same general location. RSL at Whale B was decreasing during this period and by the end of the experiment was 159 dB, with the NANCY H 1.80 km to the southeast of the whale’s location. Whale B continued to feed during the post-AG 4 control and was last observed at 2042.",7,High,Avoidance,Not measured/reported
Low-frequency,Humpback whale,Mysticetes,Malme et al. 1985 ,"Frederick Sound, Alaska",Continuous,Drilling,Stationary,,,,116,Not explicit,Estimated,>0.5 km,,,,Foraging,"No clear evidence of whale avoidance of the area near the active sound source was obtained. Malme et al. (1985) conducted two drillship playback experiments on feeding humpback whales in Frederick Sound, Alaska. There were no consistent responses of whales at ranges to the sound source of >0.5 km with RSL >116 dB.",0,Low,Not-avoidance,Not measured/reported
Low-frequency,Humpback whale,Mysticetes,Malme et al. 1985 ,"Frederick Sound, Alaska",Seismic-Explosion,Seismic,Stationary,,,,172,Not explicit,Estimated,3.2 km,,,,Foraging,"No clear evidence of whale avoidance of the area near the active sound source was obtained. Of the 13 air gun and playback experiments, seven yielded significant (p < 0.05) differences, but three of these seven showed an apparent approach response while only four showed apparent avoidance. None of the significant differences in control and experimental distributions appeared to be a direct response to the sound source for they were not stronger at closer range to the source. Results from one air gun experiment did show an avoidance response that was stronger at closer range. This was the first air gun test at close range. Subsequent tests in the same area during the same day did not show similar results, suggesting possible habituation” Malme et al. (1985) conducted single air gun (100 cu. in.) experiments on feeding humpback whales in Frederick Sound, Alaska. They found no overall pattern of avoidance with RSL up to 172 dB. However, observers did note startle responses by whales at air gun onset on three occasions with RSL at 150 dB to 169 dB at ranges up to 3.2 km. ",0,Low,Not-avoidance,Not measured/reported
Low-frequency,Bowhead whale,Mysticetes,"Richardson et al. 1985, Richardson et al. 1990 (Richardson, Wells, and Wursig 1985 is the LGL report but Richardson et al. 1985 the the primary publication)",Beaufort Sea,Continuous,Drilling,Stationary,,,30 - 40,115,rms,Measured,2 - 3 km,,,,Foraging,"Very inconclusive results: The results show some tolerance of drillship operations by bowheads, but the playback experiments suggest that avoidance may sometimes occur. By the end of the pre-playback control periods, the whales had moved farther from Sequel than they had been initially. The closest whales were 2-3 km from the projector--about the same distance as the sonobuoys. Thus, noise levels received by the closest whales were similar to those at the sonobuoys (Table 2), and were equivalent to levels 12, 6-5 and 13 m from the drillship itself (cf. Greene, 1982). Levels received by the more distant whales were unmeasured but would have been several dB lowerDuring the 18 August experiment, noise pulses from a seismic vessel 60-73km away were detectable throughout both the control and playback periods at received levels up to 133dB1uPa. However, ambient, playback and bowhead sounds were detectable in the periods between seismic pulses.There have been very few controlled experiments involving drillship playbacks to non-migrating baleen whales. Richardson et al. (1985) and Richardson, Wells, and Wursig (1985) found some evidence for bowhead whale avoidance at distances of 2 - 3 km from the playback vessel with RSL at the closest whales ranging from approximately 100 dB to 112.5 dB. They note, however, that because of the limited number and short duration of the playbacks, more experiments are needed and that their results It . ..must be considered preliminary.” (Richardson et al. 1985. p. 222*)",6,High,Avoidance,Not measured/reported
Low-frequency,Bowhead whale,Mysticetes,"Richardson et al. 1985  (Richardson, Wells, and Wursig 1985 is the LGL report but Richardson et al. 1985 the the primary publication)",Beaufort Sea,Continuous,Construction,Stationary,,,,,,,,,,,,"During aerial surveys, bowheads were seen as close as 0.8 km from the construction operation; as many as 12 bowheads were seen within 5 km during a single survey. Totals of 20 and 49 bowheads were seen within 5 and 10 km, respectively, during all surveys. Other whales were no doubt present but unseen below the surface. There was no clear evidence that the density of whales was lower near the construction operation, although their variable distribution made quantitative analysis impractical. The 12 bowheads seen within 5 km on 9 August were distributed all around the island. Industry personnel working at Issungnak reported 18 sightings of a total of 135 whales in August 1980. Several whales were estimated to be <500 m from the dredge. In contrast, neither biologists nor industry personnel saw many bowheads near Issungnak while it was being constructed in 1978 and 1979, and bowheads also were infrequent or absent there in 1981 and 1982 in the absence of construction (Richardson et aL, 1983a). The 1980 results show that bowheads sometimes tolerate considerable dredge noise and associated industrial activity. That noise was detected --~4.6km from Issungnak on 7 August 1980, and noise from the same
dredge operating in water 13 m deep has been detected at 7.4 km (Greene, 1982). The scarcity of bowheads in the Issungnak area in other recent
years was apparently a function of large scale year-to-year variability in bowhead distribution; it is not known whether reactions to industrial activity are one of the causes of this variation (Richardson et al., 1983a).",,,Not measured/reported,Not measured/reported
Low-frequency,Bowhead whale,Mysticetes,"Richardson et al. 1985  (Richardson, Wells, and Wursig 1985 is the LGL report but Richardson et al. 1985 the the primary publication)",Beaufort Sea,Seismic-Explosion,Seismic,Moving,,,six noise pulses at intervals of 6-10 s and then were silent for 0.5-2 min before beginning the next series of six pulses,154,rms,Measured,6 - 67 km,,,,,"The general activities of whales observed in the presence of noise pulses from seismic vessels 6-73 km away were similar to those of 'presumably undisturbed' whales (Table 1 ; cf. Wursig et al., in press b). On seven of eight occasions, there was no evidence that bowheads were moving away from the seismic vessels. On one day, 7 August 1982, the whales were moving westward, away from the track of the approaching vessel. However, this was probably part of a general westward movement at that time (Richardson et al., 1983a) rather than an avoidance response. Turning occurred during similar proportions of the surfacings with and without seismic noise (26 vs. 24 % on 20-22 August 1980, N = 27, 21 ; 23 vs 19 % on 14-19 August 1982, N = 31,37). Bowhead calls of the usual types (Wursig et al., 1982) were recorded on all six days when sonobuoys were deployed near whales exposed to seismic noise. Thus, we noticed no conspicuous responses to seismic vessels operating as close as 6 km from bowheads. Although we obtained no clear evidence that bowheads avoided seismic vessels, there sometimes was evidence of subtle alterations in surfacing, respiration and dive cycles. In four of seven cases, some variables differed significantly (P < 0.05) from values for 'presumably undisturbed' whales observed under similar conditions (Fig. 4). These results must be interpreted cautiously: (1) In each comparison, the whales observed in the presence and absence of seismic noise were probably different animals. (2) No one variable was consistently different. (3) In two of three cases when the seismic ship was within 13 km, 21 August 1980 and 25 August 1981, no significant differences were found. (4) Most sample sizes were small and came from repeated observations of still smaller numbers of different whales.",2,Low,Not-avoidance,Not measured/reported
Low-frequency,Bowhead whale,Mysticetes,"Richardson et al. 1985  (Richardson, Wells, and Wursig 1985 is the LGL report but Richardson et al. 1985 the the primary publication)",Beaufort Sea,Seismic-Explosion,Seismic,Stationary,6 m,most energy at 50 - 500 Hz,fired every 10 s for 20 min,123,rms,Measured,3 - 5 km away,,,,,"During the period of airgun noise, the whales showed no evidence of avoidance. They continued their previous activity, which was echelon feeding just below the surface in the 5 km experiment and diving with gradual travel in the 3 km case. However, during the 5 km experiment, echelon sizes were smaller while the airgun fired (means 4.7 before, 2.8 during, and 3.7 after airgun firing; lack of independence precludes statistical comparison). Also, the whales did not call for the 20-min period of airgun firing, but resumed calling thereafter (11 calls in 1.5 h before, 0 during, 57 calls in 2.1 h after). The latter results differ from the
aforementioned observations near full-scale seismic vessels, wherebowheads were calling. Mean durations of surfacings and dives, and mean number of blows per surfacing, were lower while the airgun fired, but not significantly so. During both experiments, blow intervals tended to be longer while the airgun fired than previously, and the difference was significant in the 3 km case (P < 0-02).",4,Moderate,Not-avoidance,Vocalization cessation
Low-frequency,Bowhead whale,Mysticetes,"Richardson et al. 1985  (Richardson, Wells, and Wursig 1985 is the LGL report but Richardson et al. 1985 the the primary publication)",Beaufort Sea,Continuous,Vessel ,Moving,,,,,,,0.8 to 3.4 km ,,,,Socializing ,"Bowheads tended to orient away from Adgo (vessel) when its engines were either engaged or idling disengaged. This was true for whales > 900 m away as whales closer. Aerial observers noted strong and generally consistent reactions to boats. When the boat was within 0.8-3.4 km, whales directly on its path began swimming rapidly away, generally attempting to outrun it. The 3.4 km case involved an adult-calf pair in water 150 m deep. When the boat was within a few hundred metres, whales generally turned and swam away from its track. This continued for a few minutes after the boat had passed. When it was 0.8-5 km away, the whales slowed and orientations were no longer consistently away from the boat's track. Although there was no evidence that bowheads moved more than 2 or 3 km as a result of boat disturbance, their behaviour was altered at least temporarily.",7,High,Avoidance,Not measured/reported
Low-frequency,Bowhead whale,Mysticetes,Richardson et al. 1986,Beaufort Sea,Seismic-Explosion,Seismic,Moving,,0 - 500 Hz (< 100 Hz  within a few kilometres from source; in shallow water these attenuate more rapidly than do components at 100-500 Hz),,158,rms,Measured,6 - 99 km,,,,Foraging,"Activities of bowheads 6-99 km from seismic vessels were usually similar to those of whales exposed to industrial noise. In both situations, bowheads surfaced, dove and called, and sometimes traveled, socialized or brought to the surface, whichi ii indicativeof feeding in the bottom (Wiirsige et al., 1985a). On five of six occasions when seismic noise started or stopped as we watched whales, behavior id not change. On 21 occasions these numbers. Activities of whales were indistinguishable from those without seismic noise; there was not detectable avoidance. ",2,Low,Not-avoidance,Not measured/reported
Low-frequency,Bowhead whale,Mysticetes,Richardson et al. 1986,Beaufort Sea,Seismic-Explosion,Seismic,Moving (approaching),,0 - 500 Hz (< 100 Hz  within a few kilometres from source; in shallow water these attenuate more rapidly than do components at 100-500 Hz),,,,,3 to 5 km,6,,,Foraging,"In a test with a full-scales seismic boat bowheads began to orient away when the seismic source away began to fire 7.5 km away, some whales continued to feed until the source was 3 km away. Whales were displaced by about 2km. Reactions were not stronger than those to any conventional vessel. ",6,High,Avoidance,Not measured/reported
Low-frequency,Bowhead whale,Mysticetes,Richardson et al. 1986,Beaufort Sea,Seismic-Explosion,Seismic,Stationary,,0 - 500 Hz (< 100 Hz  within a few kilometres from source; in shallow water these attenuate more rapidly than do components at 100-500 Hz),19 - 30 min (shot every 10-15 s),134,rms,Measured,0.2 to 1.2 km and 2 to 4.5,,,,Foraging,"Tests with one 0 .66-1airgun showed that some bowheads move away from sources of strong seismic impulses even in the absence of boat noise,and that bowheads can detect the direction from which  seismic impulses arrive. Bowheads usually continued normal activities when a 0.66-1 airgun began firing 3-5 km away (received levels >/118-133d B re: 1p Pa). However, bowheads oriented away during tests at ranges of 2-4• km and0 .2-1.2 km (received levels> 124-134 dB). In the closest case, there was a probable increase  in speeds. Surfacing and respiration variables did not change dramatically when an airgun fired 2-5 km away, but trends were consisten with those in the opportunistic data. Calls and several other behavioral variables did not change dramatically during experiments.",6,High,Avoidance,No change
Low-frequency,Gray whale,Mysticetes,Dahlheim 1987,,Artificial sounds,Artificial sounds,Stationary,,,,,,,,,,,,,,,,
Low-frequency,Gray whale,Mysticetes,Clark et al. 1999 and Buck and Tyack 2000 in Ellison et al. 2012,"California, US",LFAS,Low Frequency Sonar,Stationary,,160 - 330 ,"42 s, repeating every 6 min",141,Not explicit,Estimated,"2 km offsore, middle of the migration path",,,,Traveling,Whales avoided the vessel during playback of the sonar sound signals. Responses were often immediately apparent when the playback was active; whales moved several km north of the source such that their closest range to the playback was several hundred meters. Whales avoided the sound source at greater ranges when SL increased to 185 dB (amount of avoidance increased with increasing RLs).,6,High,Avoidance,Not measured/reported
Low-frequency,Gray whale,Mysticetes,Clark et al. 1999 and Buck and Tyack 2000 in Ellison et al. 2012,"California, US",LFAS,Low Frequency Sonar,Stationary,,160 - 330 ,"42 s, repeating every 6 min",141,Not explicit,Estimated,"4 km offshore, away from the center of the migratory path",,,,Traveling,Whales did not respond strongly to playback (compared with example above); avoidance response was greatly reduced and the response did not scalate based on increasing SL (see differences in source range; orientation relative to the sound source had an important effect on the behavioural response).,0,Low,Not-avoidance,Not measured/reported
Low-frequency,Blue whale,Mysticetes,Croll et al. 2001,"California, US",LFAS,Low Frequency Sonar,Moving,,130 - 320 Hz.,"42 s, repeating every 6 or 10 min, including inter-spaced days without transmission",150,rms,Both,,,,,Foraging,"Whales did not seem to alter their behaviour nor vocal activity as a response of LFA playbacks. Overall,
whale encounter rates and diving behaviour appeared to be more strongly linked to changes in prey
abundance associated with oceanographic parameters than to LF sound transmissions. In some cases,
whale vocal behaviour was significantly different between experimental and non-experimental periods.
However, these differences were not consistent and did not appear to be related to LF sound
transmissions. At the spatial and temporal scales examined, we found no obvious responses of whales
to a loud, anthropogenic, LF sound. We suggest that the cumulative effects of anthropogenic LF noise
over larger temporal and spatial scales than examined here may be a more important consideration
for management agencies.",0,Low,Not-avoidance,No change
Low-frequency,Fin whale,Mysticetes,Croll et al. 2001,"California, US",LFAS,Low Frequency Sonar,Moving,,130 - 320 Hz.,"42 s, repeating every 6 or 10 min, including inter-spaced days without transmission",150,rms,Both,,,,,Foraging,"Whales did not seem to alter their behaviour nor vocal activity as a response of LFA playbacks. Overall,
whale encounter rates and diving behaviour appeared to be more strongly linked to changes in prey
abundance associated with oceanographic parameters than to LF sound transmissions. In some cases,
whale vocal behaviour was significantly different between experimental and non-experimental periods.
However, these differences were not consistent and did not appear to be related to LF sound
transmissions. At the spatial and temporal scales examined, we found no obvious responses of whales
to a loud, anthropogenic, LF sound. We suggest that the cumulative effects of anthropogenic LF noise
over larger temporal and spatial scales than examined here may be a more important consideration
for management agencies.",0,Low,Not-avoidance,No change
Low-frequency,Minke whale,Mysticetes,Palka and Hammond 2001,North Atlantic,Continuous,Vessel ,Moving,,,,120,rms,Estimated,,,,,Traveling,Whales avoided the survey ship,3,Low,Not-avoidance,Not measured/reported
Low-frequency,Right whale,Mysticetes,Nowacek et al. 2004,"Bay of Fundy, Canada",Continuous,Vessel ,Moving,,50 to 500 Hz,20 min continuous,150,rms,Measured,,,,,Foraging,Whales did not show changes in behavioural responses of the sounds of approaching vessels as well as actual vessels. ,0,Low,Not-avoidance,Not measured/reported
Low-frequency,Right whale,Mysticetes,Nowacek et al. 2004,"Bay of Fundy, Canada",Acoustic alarm,Acoustic alarm,Stationary,,1 s pure tones at 500 and 850 Hz; a 2 s logarithmic down-sweep from 4500 to 500 Hz; and a pair of low-high 1500 and 2000 Hz) sine wave tones amplitude modulated at 120 Hz,18 min (three 2 min signals played sequentially three times) - 60% duty cycle,150,rms,Measured,,6,,,Foraging,"Five out of the six whales reacted strongly to the alert signal: stopped foraging, swam strongly to the surface, remained at the surface for the duration of the exposure. One whale showed no detectable response to the alert signal. ",7,High,Avoidance,Not measured/reported
Low-frequency,Fin whale,Mysticetes,Jahoda et al. 2003,"Ligurian Sea, Mediterranean",Continuous,Vessel ,Moving,,,~ 1 h,,,,5 - 10 m,25,,,Foraging,Whales stopped feeding and started traveling; whales increased velocity and reduced the time spent at the surface. Surfacing did not revert to predisturbance conditions during one hour of postexposure control and feeding behaviour suspended indefininitely. ,7,High,Avoidance,Not measured/reported
Low-frequency,Blue whale,Mysticetes,Melcon et al. 2012,"California, US",MFAS,Mid-frequency sonar,Moving,,1 - 8 kHz,,155,rms,Estimated,6 - 8 km,,,,Foraging,Individuals were less likely to produce calls when sonar was present; particularly when sonar was closer and thus had higher sound levels (blue whales decreased the proportion of time spent producing D calls to half when MFA sonar was present),4,Moderate,Not-avoidance,Vocalization duration decrease
Low-frequency,Blue whale,Mysticetes,Melcon et al. 2012,"California, US",Continuous,Vessel ,Moving,,,tens of minutes,145,rms,Estimated,,,,,Foraging,The likelihood of individuals producing calls increased when ship sounds were in the area,4,Moderate,Not-avoidance,Vocalization Rate Increase
Low-frequency,Blue whale,Mysticetes,Melcon et al. 2012,"California, US",Seismic-Explosion,Explosion,Stationary,,,,145,rms,Estimated,,,,,Foraging,The likelihood of individuals producing calls seemed to decreased with increased SPL - but this was not statisticaly significant ,4,Moderate,Not-avoidance,Vocalization Rate Decrease
Low-frequency,Blue whale,Mysticetes,McKenna 2011,"California, US",Continuous,Vessel ,Moving,,,,,,,,,,,,"Received levels of D calls increased when when the background noise increased, ships, calls occurred more rapidly in the presence of ships and a partial Lombard effect was identified.",4,Moderate,Not-avoidance,Vocalization intensity increase
Low-frequency,Humpback whale and minke whale,Mysticetes,Borggaard et al. 1999,"Newfoundland, Canada",Continuous,Construction,Stationary,,,,,,,,,,,Foraging,"In some cases, distance of humpbacks and minke whales from the indistrial activities increased; however, this can also be related to variations in availability of prey and toher factors not considered",5,Moderate,Avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,Watkins and Schevill 1975,"East coast, US",Acoustic alarm,Acoustic alarm,Stationary,,,,90,Not explicit,Measured,at least 1 km,~ 7,,,,"Whales temporarily interrupted sound production in reaction to underwater pulses produced by pingers. No startle reactions, no sudden movements, or changes in the activity of the whales at the surface.All the whales that were audible within an estimated 1 km of the array reacted generally in the same way to the pinger sounds. They quieted after 4-7 of the pulses in a pinger series.",3,Low,Not-avoidance,Vocalization cessation
Mid-frequency,Sperm whale,Sperm whale,Gordon et al. 1992,"Kaikoura, New Zealand",Continuous,Vessel ,Moving,,2 - 4 kHz,,120,rms,Measured,50 - 450 m,,,,Foraging,"Resident whales (stayed in the area along the break of the continental shelf)  seemed to be more tolerant of whale-watching vessels and did not show significant differences in surface parameters. Non-resident whales (appear to be passing through the area) were less tolerant of whale-watching vessels,  had shorter surface times, and shorter blow intervals when boats were present. ",3,Low,Not-avoidance,Not measured/reported
High-frequency,Harbour porpoise,Porpoise,Palka and Hammond 2001,North Atlantic,Continuous,Vessel ,Moving,,,,120,rms,Estimated,,,,,Traveling,Avoided the survey ship,6,High,Avoidance,Not measured/reported
Mid-frequency,Minke whale,Mysticetes,Palka and Hammond 2001,North Atlantic,Continuous,Vessel ,Moving,,,,120,rms,Estimated,,,,,Traveling,Avoided the survey ship,6,High,Avoidance,Not measured/reported
Mid-frequency,White sided dolphin,Dolphin,Palka and Hammond 2001,North Atlantic,Continuous,Vessel ,Moving,,,,120,rms,Estimated,,,,,Traveling,Dolphins avoided the survey ship,6,High,Avoidance,Not measured/reported
Mid-frequency,White beaked dolphin,Dolphin,Palka and Hammond 2001,North Atlantic,Continuous,Vessel ,Moving,,,,120,rms,Estimated,,,,,Traveling,Attracted to the ship,1,Low,Approach,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Morton and Symonds 2002,"British Columbia, Canada",Acoustic alarm,Acoustic alarm,Stationary,,10 kHz,Intermittent for six years,150,rms,Estimated,,,,,,Evidence of displacement of whales for approximately 6 years while the AHDs were active; whale numbers returned to baseline levels in the area when AHDs were removed.,8,Very high,Avoidance,Not measured/reported
Mid-frequency,Bottlenose dolphin,Dolphin,Buckstaff 2004,"Sarasota, US",Continuous,Vessel ,Moving,,0.5 - 12 kHz,,138,rms,Measured,~10 - 365 m ,~focal animal follows of 14 individuals,,,,Vessel approaches affected the acoustic behaviour of dolphins: Individuals whistled significantly more often at the onset of approaches compared to during and after vessel approaches and whistles rate was significantly greater at the onset of a vessel apporach than when no vessels were present.,4,Moderate,Not-avoidance,Vocalization Rate Increase
Mid-frequency,Killer whale,Killer whale,"NRL 2004a, 2004b in Southall et al. 2007; NMFS 2005",,MFAS,Mid-frequency sonar,Moving,,,,170,Not explicit,Both,,,,,,,6,High,Avoidance,Not measured/reported
